Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: Russian
[00:00.000 --> 00:02.520]  Которые постоянно не работают.
[06:52.860 --> 07:05.860]  И на самом деле, вот блоки ФПГА процессоров, народ вообще очень давно уже ожидает, ожидает, ожидает, ожидает.
[07:05.860 --> 07:09.860]  Но их что-то никто не выкатывает, не выкатывает, не выкатывает.
[07:11.860 --> 07:14.860]  Это можно конфигурировать?
[07:14.860 --> 07:15.860]  Да.
[07:15.860 --> 07:30.860]  То есть ФПГА это такая штука, где у вас есть набор логических элементов, и вы можете в процессе работы схемы динамически перестроить их соединение.
[07:30.860 --> 07:40.860]  Таким образом, вы пишете, ну, один из вариантов, вот, на вереводе схему и загружаете ее в эту микросхему.
[07:40.860 --> 07:44.860]  Ваша микросхема конфигурируется под эту конфигурацию.
[07:44.860 --> 07:55.860]  Вы получаете в итоге схему как аппаратное управление, но вы не платите кучу денег за разработки железки.
[07:55.860 --> 08:00.860]  Вы покупаете готовую ФПГАшку и просто ее конфигурируете.
[08:00.860 --> 08:14.860]  То есть это радикально дешевле, чем честно сделать специализированные микросхемы, но эффективнее энергетически, чем исполнять чисто программу.
[08:14.860 --> 08:17.860]  Главная проблема какая?
[08:17.860 --> 08:19.860]  Отсутствие железа такого.
[08:19.860 --> 08:20.860]  Нет.
[08:20.860 --> 08:22.860]  Что нужно писать на вореводе.
[08:22.860 --> 08:23.860]  Ну, не обязательно.
[08:23.860 --> 08:28.860]  Там же, там у каждой компании, я читал, у каждой компании свои, типа, языки.
[08:28.860 --> 08:29.860]  На уровне воревода.
[08:29.860 --> 08:31.860]  Ну, да, да, да.
[08:31.860 --> 08:34.860]  А там это специально же делается, чтобы и по тактово как-то...
[08:34.860 --> 08:35.860]  Да, да, да.
[08:35.860 --> 08:39.860]  И вот писать на таком уровне большинство программистов не способны.
[08:39.860 --> 08:42.860]  Ну, кстати говоря, из хорошего, из хорошего...
[08:42.860 --> 08:43.860]  Сейчас.
[08:43.860 --> 08:47.860]  У нас есть ФПГА.
[08:47.860 --> 08:52.860]  И это буквально железка конфигурируется по программе, которую вы выбрали.
[08:52.860 --> 08:53.860]  Да.
[08:53.860 --> 09:08.860]  То есть это железка, где у тебя соединение логических элементов внутри, не статическое, как обычно, а конфигурируется, ну, можно сказать, программой, которая туда загружается.
[09:08.860 --> 09:12.860]  Ну, значит, условно, система строится после другой программы?
[09:12.860 --> 09:14.860]  Нет, она уже типа построена...
[09:14.860 --> 09:23.860]  Она не строится, внутри соединения переключаются в соответствии с теми данными, которые ты заливаешь.
[09:23.860 --> 09:31.860]  То есть сами элементы, они фиксированы, но соединение их между собой оно не фиксировано.
[09:31.860 --> 09:37.860]  И оно переключается в соответствии с тем, что ты туда заливаешь.
[09:37.860 --> 09:39.860]  И оно довольно быстро переключается.
[09:39.860 --> 09:42.860]  Не знаю, как раз, сколько миллисекунд.
[09:42.860 --> 09:45.860]  То есть не на уровне так.
[09:45.860 --> 09:46.860]  Ну, не на уровне так.
[09:46.860 --> 09:47.860]  Ну, не на уровне так.
[09:47.860 --> 09:48.860]  Ну, да.
[09:48.860 --> 09:49.860]  Это не очень быстро.
[09:49.860 --> 09:50.860]  То есть не так.
[09:50.860 --> 09:51.860]  Ну, не по каждому чипу.
[09:51.860 --> 10:01.860]  Но на уровне запуска программы одной это дешево.
[10:01.860 --> 10:02.860]  Вот.
[10:02.860 --> 10:14.860]  И вот такие FPGA-шки, как вот такая оптимизация, что ты вот что-то такое специализированное делаешь, и ты это выносишь в FPGA.
[10:14.860 --> 10:15.860]  Да.
[10:15.860 --> 10:18.860]  Вот это намного более осмысленно, чем бревать...
[10:18.860 --> 10:22.860]  Ну, и для нового архитектура, конечно, хорошо будет.
[10:22.860 --> 10:24.860]  Ну, это и для старых архитектур будет.
[10:24.860 --> 10:29.860]  Хорошо, если бы вот этот такой модуль, можно было как-то цивилизованно программное строение.
[10:29.860 --> 10:31.860]  Ну, вот это уже не один десяток лет.
[10:31.860 --> 10:32.860]  Что?
[10:32.860 --> 10:35.860]  Никто пока ничего такого не любит.
[10:35.860 --> 10:37.860]  Просто, по-моему, большие действия пришли.
[10:37.860 --> 10:39.860]  Нет, нам же тяжело.
[10:39.860 --> 10:43.860]  Это, получается, нужно какую-то программу собирать под новую программу.
[10:43.860 --> 10:47.860]  А, значит, тебе нужен компилятор, который ты будешь собирать под новую программу.
[10:47.860 --> 10:49.860]  Значит, тебе и компилятор нужно собирать.
[10:49.860 --> 10:56.860]  На самом деле, про компиляцию под эти железки есть один приятный момент.
[10:56.860 --> 11:05.860]  Именно не всегда обязательно писать новые логи, а некоторые крупные компашки,
[11:05.860 --> 11:11.860]  они под некоторые такие более крутые свои железки выпустили компилятор с OpenCL.
[11:11.860 --> 11:16.860]  То есть вы можете на OpenCL вместо верилога писать куда-то туда.
[11:16.860 --> 11:24.860]  Ну, это, конечно, нормальный C вместо верилога.
[11:24.860 --> 11:26.860]  Типа как-то алюмина, что ли?
[11:26.860 --> 11:27.860]  Нет.
[11:27.860 --> 11:28.860]  Никак.
[11:28.860 --> 11:33.860]  Не в смысле убогий C, а в смысле язык уровня C.
[11:33.860 --> 11:36.860]  Надо было на карточки ходить.
[11:36.860 --> 11:41.860]  Есть только язык, как WordDSL называется.
[11:41.860 --> 11:46.860]  И вот на нём ты описываешь инструкцию, семантику, как она кодируется.
[11:46.860 --> 11:51.860]  А потом из всего этого можете, там, из генерируется декодер и всякие...
[11:51.860 --> 11:57.860]  Не, ну понятно, что существует великое множество всяких языков для этих штучек.
[11:57.860 --> 11:59.860]  Я, честно говоря, не очень виспредельствовании.
[11:59.860 --> 12:03.860]  Я знаю, что оно существует, на общие принципы.
[12:03.860 --> 12:07.860]  Но вот я бы, на самом деле, с удовольствием поднялся без какой-то железки.
[12:07.860 --> 12:09.860]  Но с этими железками следующая проблема.
[12:09.860 --> 12:12.860]  Эти РПГ-шки существуют в двух вариантах.
[12:12.860 --> 12:16.860]  Либо нечто дешёвое, но вещь в себе.
[12:16.860 --> 12:22.860]  То есть какая-то такая платка, где это вот в духе центрального процессора.
[12:22.860 --> 12:25.860]  И вы туда можете что-то залить.
[12:25.860 --> 12:29.860]  Всякие там робототехники и прочее любят подобные железки.
[12:29.860 --> 12:35.860]  Либо это карта, которая втыкается в компьютер PCI-Express.
[12:35.860 --> 12:38.860]  И может использоваться как вот такой генеринг-акселератор.
[12:38.860 --> 12:44.860]  Но стоимость её добавляет некоторое количество ноликов.
[12:44.860 --> 12:47.860]  В конце цены.
[12:47.860 --> 12:49.860]  И они как-то дико дорого стоят.
[12:51.860 --> 13:00.860]  Чего-нибудь такое адекватное и по стоимости, и удобное к использованию, как именно акселератор, а не как стендового железка.
[13:00.860 --> 13:02.860]  Вот чего-то я такого не видел.
[13:02.860 --> 13:09.860]  Вопрос в том, что вы говорили, что под камеры условно удобно свою железку, потому что она...
[13:09.860 --> 13:11.860]  Смотря что вы делаете.
[13:11.860 --> 13:14.860]  Вопрос в том, что под видеокамерой точно не имеет смысла.
[13:14.860 --> 13:17.860]  Она постоянно подключена в телефон.
[13:17.860 --> 13:24.860]  Если телефончик ещё понятно, то камеры, условно какие-то видеокамеры, это вообще безусловно.
[13:24.860 --> 13:25.860]  Почему?
[13:25.860 --> 13:28.860]  Потому что ты делаешь какую-то обработку изображений?
[13:28.860 --> 13:31.860]  Ну, у нас же нет вопроса.
[13:31.860 --> 13:35.860]  У нас пытания постоянно есть.
[13:35.860 --> 13:36.860]  Ну почему?
[13:36.860 --> 13:42.860]  Если это промышленная камера, то у тебя ограничения на размеры не может.
[13:42.860 --> 13:45.860]  Рядом с промышленной камерой поставить десктоп.
[13:45.860 --> 13:48.860]  Особенно там, где-нибудь рядом со столбом.
[13:48.860 --> 13:50.860]  То у тебя вот все камеры висит.
[13:50.860 --> 13:52.860]  Рядом десктоп стоит, не трогайте, пожалуйста.
[13:52.860 --> 13:56.860]  Ты можешь данные передавать, просто обрабатывайте в каком-то месте.
[13:56.860 --> 13:58.860]  А данные передавай с камерой.
[13:58.860 --> 14:00.860]  Вот дворода там, большой поток.
[14:00.860 --> 14:01.860]  Да.
[14:01.860 --> 14:07.860]  То есть как бы там очень даже может иметь смысл обрабатывать на камеру.
[14:07.860 --> 14:09.860]  Ещё раз, это зависит от задач.
[14:09.860 --> 14:15.860]  Где-то проще проложить просто сетку пожирнее и не париться.
[14:15.860 --> 14:20.860]  А где-то проще поставить камеру умнее и не париться с сеткой.
[14:20.860 --> 14:22.860]  Потому что сетку ты не контролируешь.
[14:22.860 --> 14:26.860]  Что тебе досталось, там у головы иногда работает, иногда нет.
[14:26.860 --> 14:28.860]  Вот получишь ничто.
[14:31.860 --> 14:34.860]  Важно, какую задачу вы решаете.
[14:34.860 --> 14:43.860]  И вот всякие статейки, они как-то хорошие, но нужно понимать, как они соотносятся с реальностью.
[14:43.860 --> 14:50.860]  То есть статейки, конечно, напишут про то, что им интересно и что это такое нововидейство.
[14:50.860 --> 14:53.860]  Но на сколько оно тебе полезно будет?
[14:53.860 --> 14:55.860]  Вообще вопрос, да.
[14:55.860 --> 14:57.860]  Вот.
[14:57.860 --> 15:00.860]  Что-то мы совсем не туда ушли.
[15:00.860 --> 15:01.860]  В компиляции.
[15:01.860 --> 15:04.860]  Можно вопрос, кстати, про команды?
[15:04.860 --> 15:05.860]  Да.
[15:05.860 --> 15:08.860]  Флотовые команды, они влияют на флаги FPU?
[15:08.860 --> 15:10.860]  Флаги FPU, да, существует.
[15:10.860 --> 15:13.860]  Там куча разных фадов, разных регистров.
[15:13.860 --> 15:15.860]  Может меняться, хотя оно словно FAD.
[15:15.860 --> 15:19.860]  А вот почему корпиляторы выкидывают эти фады?
[15:19.860 --> 15:21.860]  Какие идеи вообще?
[15:21.860 --> 15:25.860]  Давай, значит, про плавающую крышку, когда дойдём на плавающую крышку.
[15:25.860 --> 15:26.860]  Хорошо.
[15:26.860 --> 15:29.860]  Мы до неё дойдём, но явно несчастный.
[15:29.860 --> 15:34.860]  Поэтому все замороженные с плавающей крышкой и так далее.
[15:36.860 --> 15:41.860]  Так, это было про свечи, что у нас из таких управляющих конструкций.
[15:41.860 --> 15:45.860]  Следующее про организацию функций.
[15:45.860 --> 15:51.860]  В двух словах я в вас такую необходимую информацию уже влил.
[15:51.860 --> 15:54.860]  А теперь более подробно.
[15:54.860 --> 16:06.860]  Что вы можете наблюдать и как вам полезно писать, а не изобретать совсем уж дикие велосипеды.
[16:06.860 --> 16:18.860]  Во-первых, если вы хотите выделить место под локальные переменные, то замечательное место, чтобы под них выделить, это stack.
[16:18.860 --> 16:25.860]  То есть ваша функция, она начинается с того, что выделяет место на stack.
[16:25.860 --> 16:28.860]  Повторюсь ещё раз, stack растёт вниз.
[16:28.860 --> 16:34.860]  Поэтому выделение места на stack – это оплетание stack-поинта.
[16:34.860 --> 16:41.860]  SAM, ESP и, например, 32.
[16:41.860 --> 16:45.860]  Вот вы выделили на stack 32 байт памяти.
[16:45.860 --> 16:51.860]  Если вам нужно выделить там 37 байт памяти,
[16:51.860 --> 16:53.860]  горкость не объявляет.
[16:53.860 --> 16:56.860]  ESP и 4.
[16:56.860 --> 17:03.860]  Если вы в 30 битном режиме, следует округлить вверх до битности вашей программы.
[17:03.860 --> 17:14.860]  Рекомендуется, чтобы ESP был кратен в битности.
[17:14.860 --> 17:16.860]  Обращаться можно?
[17:16.860 --> 17:19.860]  Нет, можно и даже ESP сделать кратен.
[17:19.860 --> 17:23.860]  Просто это может тебе ударить по скорости.
[17:23.860 --> 17:25.860]  То есть от обращения тоже?
[17:25.860 --> 17:26.860]  Обращения нет.
[17:26.860 --> 17:28.860]  Обращения как хочешь.
[17:28.860 --> 17:32.860]  И с обращениями как раз на x86 очень хорошо.
[17:32.860 --> 17:37.860]  На x86 вы можете долбиться невыровненными обращениями куда угодно.
[17:37.860 --> 17:39.860]  И они стоят крайне низко.
[17:39.860 --> 17:45.860]  А именно на современных процессорах даже невыровненное обращение,
[17:45.860 --> 17:51.860]  если оно не пересекает к кашлинию бесплатно,
[17:51.860 --> 17:54.860]  дополнительно вы ничего не платите за то,
[17:54.860 --> 17:58.860]  что читаете невыровненные или пишете невыровненные данные,
[17:58.860 --> 18:02.860]  если они не пересекают кашлинию.
[18:02.860 --> 18:06.860]  То есть там все эти проблемы решены аккуратно,
[18:06.860 --> 18:09.860]  и вы вообще не наблюдаетесь, как продается.
[18:09.860 --> 18:14.860]  На некоторых архитектурах невыровненные обращения существуют,
[18:14.860 --> 18:17.860]  но они существенно дороже,
[18:17.860 --> 18:20.860]  а на некоторых архитектурах их просто нет.
[18:20.860 --> 18:22.860]  Поэтому хочется невыровненное обращение,
[18:22.860 --> 18:28.860]  разбивай его на мелкие кусочки и делай по байтам отдельно.
[18:28.860 --> 18:32.860]  И страдай при этом очень долго.
[18:32.860 --> 18:35.860]  Но еще раз, невыровненные обращения бесплатные,
[18:35.860 --> 18:37.860]  если они не пересекают кашлинию.
[18:37.860 --> 18:40.860]  То есть они пересекают кашлинию, они, конечно, дороже,
[18:40.860 --> 18:45.860]  и особенно дорого, если они пересекают границу страниц.
[18:45.860 --> 18:48.860]  По странице в конце.
[18:48.860 --> 18:52.860]  Но кто слышал такой термин, то он сработает.
[18:52.860 --> 18:57.860]  То есть по возможности выравнивать данные все равно смысл имеет.
[18:57.860 --> 19:00.860]  А функция выравнивает смыслу?
[19:00.860 --> 19:07.860]  Небольшой смысл имеет в плане того, что оно может улучшить каширу.
[19:07.860 --> 19:11.860]  Потому что код кашируется, как и данные кашлинии.
[19:11.860 --> 19:17.860]  Поэтому если твоя функция начинается с более выравненного адреса,
[19:17.860 --> 19:22.860]  то больше шансов, что она вот так большим куском запишет.
[19:25.860 --> 19:27.860]  Насколько это прям критично?
[19:27.860 --> 19:29.860]  Мне кажется, не особо критично.
[19:29.860 --> 19:34.860]  Интериаторы по-прежнему любят выравнивать начало функции.
[19:34.860 --> 19:42.860]  По PDCount они, как правило, выравнивают начало функции на адрес кратный длину 16.
[19:43.860 --> 19:46.860]  Ну да, можно ставить ключ к оператору.
[19:46.860 --> 19:49.860]  Я не могу сказать, насколько это прям критично.
[19:50.860 --> 19:53.860]  Если вас вопрос интересует, попробуйте.
[19:57.860 --> 20:02.860]  Итак, выделение памяти на стеке — это вот subESP что-то.
[20:02.860 --> 20:05.860]  и что-то вы хотите кратное выказать.
[20:05.860 --> 20:08.860]  То есть кратное четырём байсиком.
[20:08.860 --> 20:11.860]  То есть уделение должно быть кратное.
[20:11.860 --> 20:13.860]  То есть уделение должно быть кратное.
[20:13.860 --> 20:15.860]  Уделение должно быть кратное восьми.
[20:15.860 --> 20:17.860]  Четырёх.
[20:18.860 --> 20:21.860]  Ничего себе, не должно, а рекомендуется.
[20:23.860 --> 20:26.860]  Это рекомендация, которую вы можете научить.
[20:26.860 --> 20:32.860]  Если вы сдвинете ESP на 31, ничего мгновенно не сломается.
[20:33.860 --> 20:38.860]  Просто некая оптимизация внутри современных процессоров, например,
[20:38.860 --> 20:43.860]  ОТС работает, и какие-то операции не могут работать больше.
[20:44.860 --> 20:48.860]  Чтобы случайно не наступить на какое-то внезапное замедление,
[20:50.860 --> 20:53.860]  выделите на эти три несчастных пайти побольше.
[20:54.860 --> 20:59.860]  Вряд ли это прям сильно повлияет на потребление памяти вашей программы.
[20:59.860 --> 21:07.860]  Можно пренебрегать, потому что это рекомендация.
[21:07.860 --> 21:12.860]  Рекомендация рекомендуется стэк-пойнтом двигать на границу кратной восьми.
[21:15.860 --> 21:23.860]  И в конце, перед возвратом функции, не забывайте, вернуть всё обратно.
[21:23.860 --> 21:30.860]  Под освободительность.
[21:35.860 --> 21:37.860]  Это всё просто.
[21:37.860 --> 21:38.860]  Да.
[21:38.860 --> 21:50.860]  И вообще, если все живут в цивилизованных границах, то он тебя будет выработкой.
[21:53.860 --> 21:57.860]  И в 64-битном мире там даже есть требования, что он должен быть.
[21:58.860 --> 22:01.860]  В 64-битном мире, мне кажется, требований нету,
[22:02.860 --> 22:06.860]  потому что оно сложилось раньше, чем какие-то требования были.
[22:06.860 --> 22:10.860]  Но если все себя нормально ведут,
[22:11.860 --> 22:15.860]  то тебе все стэк-поинтеры будут двигать на сравнительную кратную.
[22:16.860 --> 22:17.860]  Не хуже, чем...
[22:21.860 --> 22:25.860]  Поэтому если тебе, когда выгодка его стэк-поинтер, то виноват не ты.
[22:25.860 --> 22:32.860]  Это, как бы, такой более экономичный.
[22:33.860 --> 22:35.860]  А что вы можете неверно встретить,
[22:36.860 --> 22:39.860]  особенно если посмотрите на то, что генерируют компиляторы,
[22:39.860 --> 22:44.860]  вы можете встретить вот такое начало, конец функции,
[22:44.860 --> 22:47.860]  как
[22:47.860 --> 22:51.860]  как
[22:51.860 --> 22:52.860]  на фигуре,
[22:52.860 --> 22:53.860]  так как
[22:53.860 --> 22:55.860]  и
[22:55.860 --> 22:56.860]  и
[22:56.860 --> 22:57.860]  и
[22:57.860 --> 22:58.860]  и
[22:58.860 --> 22:59.860]  и
[22:59.860 --> 23:00.860]  и
[23:00.860 --> 23:01.860]  и
[23:01.860 --> 23:02.860]  и
[23:02.860 --> 23:03.860]  и
[23:03.860 --> 23:04.860]  и
[23:04.860 --> 23:05.860]  и
[23:05.860 --> 23:06.860]  и
[23:06.860 --> 23:10.860]  что угодно, а в конце будет
[23:10.860 --> 23:12.860]  но
[23:12.860 --> 23:14.860]  есть
[23:14.860 --> 23:16.860]  p
[23:16.860 --> 23:18.860]  и vp
[23:18.860 --> 23:22.860]  и vp
[23:22.860 --> 23:24.860]  то есть
[23:24.860 --> 23:26.860]  обращения вот этого
[23:26.860 --> 23:28.860]  не будет
[23:28.860 --> 23:30.860]  посмотрите внимательно на эту конструкцию
[23:30.860 --> 23:32.860]  конструкция называется
[23:32.860 --> 23:34.860]  stackFrame
[23:34.860 --> 23:36.860]  получается в том, что
[23:36.860 --> 23:38.860]  вы на stack
[23:38.860 --> 23:40.860]  вот у вас здесь
[23:40.860 --> 23:42.860]  адрес
[23:42.860 --> 23:44.860]  возврата
[23:44.860 --> 23:46.860]  вот здесь
[23:46.860 --> 23:48.860]  сохраненное значение
[23:48.860 --> 23:50.860]  ebp
[23:50.860 --> 23:52.860]  старое
[23:52.860 --> 23:54.860]  и
[23:54.860 --> 23:56.860]  вы создаете
[23:56.860 --> 23:58.860]  указатель
[23:58.860 --> 24:00.860]  ebp, который
[24:00.860 --> 24:02.860]  привязан к этому месту
[24:02.860 --> 24:04.860]  дальше
[24:04.860 --> 24:06.860]  esp
[24:06.860 --> 24:08.860]  как-то
[24:08.860 --> 24:10.860]  двигается
[24:10.860 --> 24:12.860]  а
[24:12.860 --> 24:14.860]  ваши переменные, которые лежат где-нибудь
[24:14.860 --> 24:16.860]  по фиксированному адресу
[24:16.860 --> 24:18.860]  они остаются по фиксированному смещению
[24:18.860 --> 24:20.860]  относительно ebp
[24:20.860 --> 24:22.860]  то есть
[24:22.860 --> 24:24.860]  вы там что-нибудь на stack
[24:24.860 --> 24:26.860]  запушили
[24:26.860 --> 24:28.860]  и адреса ваших локальных переменных
[24:28.860 --> 24:30.860]  относительно esp
[24:30.860 --> 24:32.860]  поехали
[24:32.860 --> 24:34.860]  если же вы используете
[24:34.860 --> 24:36.860]  такой код
[24:36.860 --> 24:38.860]  то позиция относительно
[24:38.860 --> 24:40.860]  она будет фиксирована
[24:40.860 --> 24:42.860]  единственное что ваши локальные переменные
[24:42.860 --> 24:44.860]  будут иметь адреса
[24:44.860 --> 24:46.860]  ebp-
[24:46.860 --> 24:48.860]  сколько
[24:48.860 --> 24:49.860]  ebp-
[24:49.860 --> 24:50.860]  будут аргументы
[24:50.860 --> 24:51.860]  ваших
[24:51.860 --> 24:52.860]  а ebp-
[24:52.860 --> 24:54.860]  это будут локальные переменные
[24:54.860 --> 24:56.860]  ваши
[24:56.860 --> 24:58.860]  это позволяет вам
[24:58.860 --> 25:00.860]  существенно меньше
[25:00.860 --> 25:02.860]  заморачиваться с тем
[25:02.860 --> 25:04.860]  куда у вас поехали
[25:04.860 --> 25:06.860]  но какой очевидный минус
[25:06.860 --> 25:08.860]  нам это
[25:08.860 --> 25:10.860]  регистр
[25:10.860 --> 25:12.860]  то есть из уже
[25:12.860 --> 25:14.860]  семи регистров общего назначения
[25:14.860 --> 25:16.860]  степпоинтер вы не особенно потрогаете
[25:16.860 --> 25:18.860]  при вычислении
[25:18.860 --> 25:20.860]  у вас уже шесть регистров
[25:20.860 --> 25:22.860]  общего назначения
[25:22.860 --> 25:24.860]  что довольно довольно
[25:24.860 --> 25:26.860]  почему компиляторы так
[25:26.860 --> 25:28.860]  любят делать
[25:28.860 --> 25:30.860]  потому что это
[25:30.860 --> 25:32.860]  сильно-сильно упрощает
[25:32.860 --> 25:34.860]  операцию раскрутка степпо
[25:34.860 --> 25:36.860]  то есть определение
[25:36.860 --> 25:37.860]  того
[25:37.860 --> 25:39.860]  откуда вас вызвали
[25:39.860 --> 25:41.860]  если все работают
[25:41.860 --> 25:42.860]  по такому принципу
[25:42.860 --> 25:43.860]  то смотрите
[25:43.860 --> 25:45.860]  вы легко можете определить
[25:45.860 --> 25:47.860]  откуда вас вызвали
[25:47.860 --> 25:48.860]  потому что
[25:48.860 --> 25:50.860]  ваш ebp
[25:50.860 --> 25:52.860]  он
